heading (radians),x (meters),y (meters),theta (radians),cost
-1.0904960121098553,-2.0707753396749924,-0.342158695885613,-1.0904960121098553,0.0
-1.0904953593550961,-2.0707748391151175,-0.3421598428162089,-1.0904953593550961,1.2514032045063162e-06
-1.090494681150058,-2.070774362865041,-0.3421609828589492,-1.090494681150058,1.235520774895738e-06
-1.09049400017049,-2.070773863727028,-0.34216217217774847,-1.09049400017049,1.2898131500477256e-06
-1.0904933278651758,-2.070773361894709,-0.34216332006109584,-1.0904933278651758,1.2527856384187975e-06
-1.0904927503894233,-2.0707727200903867,-0.3421643361263594,-1.0904927503894233,1.2017909167881783e-06
-1.0904921966863923,-2.070772034960599,-0.34216539649765026,-1.0904921966863923,1.2624539992992683e-06
-1.0904916306101087,-2.070771378867079,-0.34216648304646063,-1.0904916306101087,1.26927027233974e-06
-1.0904910523602553,-2.0707707324408418,-0.3421676033396714,-1.0904910523602553,1.293415539761751e-06
-1.0904904355951253,-2.070770140508053,-0.34216876700366483,-1.0904904355951253,1.305564366781371e-06
-1.0904897847561486,-2.0707695641556767,-0.342170040111803,-1.0904897847561486,1.3974928956563484e-06
-1.0904891337796498,-2.070769028112906,-0.34217121158095876,-1.0904891337796498,1.2882863947007184e-06
-1.0904884817888862,-2.0707685090040773,-0.342172323972836,-1.0904884817888862,1.2275543428545166e-06
-1.0904878304840777,-2.0707680027737214,-0.34217340338179997,-1.0904878304840777,1.1922218269810556e-06
-1.0904872192141497,-2.0707674196063226,-0.34217446994551903,-1.0904872192141497,1.2155831447778093e-06
-1.090486612296372,-2.070766836331963,-0.3421755456874611,-1.090486612296372,1.2236951027013889e-06
-1.090486046896491,-2.0707661615447446,-0.3421766143753715,-1.090486046896491,1.2638954229380166e-06
-1.0904854438293425,-2.070765563921551,-0.3421777386143497,-1.0904854438293425,1.2732112007079253e-06
-1.0904848254666102,-2.070764954310667,-0.3421789257287653,-1.0904848254666102,1.3344909387531688e-06
